,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,clarence town,42.9767,-78.592,10.99,80,23,1.99,US,1613098309
1,tasiilaq,65.6145,-37.6368,19.4,73,75,26.46,GL,1613098309
2,puerto ayora,36.5939,-6.233,60.8,88,75,9.22,ES,1613098310
3,acapulco,16.8634,-99.8901,77.0,78,1,6.91,MX,1613098220
4,trat,12.5,102.5,86.0,47,0,6.91,TH,1613098310
5,ushuaia,-54.8,-68.3,48.2,66,40,27.63,AR,1613098070
6,faya,18.3851,42.4509,51.8,46,0,4.61,SA,1613098154
7,thompson,55.7435,-97.8558,-31.0,75,20,2.3,CA,1613098287
8,vestmannaeyjar,63.4427,-20.2734,41.14,71,100,38.61,IS,1613098311
9,phalaborwa,-23.943,31.1411,71.6,88,4,5.75,ZA,1613098311
10,kokoda,-8.8785,147.7407,86.22,59,77,1.1,PG,1613098058
11,sheridan,44.8333,-106.9173,-13.0,64,90,6.91,US,1613098312
12,hermanus,-34.4187,19.2345,73.0,91,98,6.8,ZA,1613098312
13,dakar,14.6937,-17.4441,66.2,63,0,18.41,SN,1613098312
14,mount gambier,53.6597,-1.8537,26.01,90,67,1.01,GB,1613098312
15,vaini,-21.2,-175.2,86.0,79,40,9.22,TO,1613098090
16,georgetown,5.4112,100.3354,86.0,65,20,8.05,MY,1613098246
17,luanda,-8.8368,13.2343,80.6,78,75,4.61,AO,1613097683
18,bluff,-46.6,168.3333,61.0,68,2,8.99,NZ,1613098313
19,leningradskiy,69.3833,178.4167,-14.48,87,100,12.46,RU,1613098313
20,punta arenas,8.9897,125.34,85.73,63,0,3.91,PH,1613098313
21,jamestown,42.097,-79.2353,14.0,79,40,5.75,US,1613097889
22,padang,-0.9492,100.3543,86.0,66,20,2.3,ID,1613098282
23,saint-augustin,51.226,-58.6502,24.58,94,100,15.12,CA,1613098173
24,jalu,29.0331,21.5482,53.02,84,0,10.29,LY,1613098314
25,moron,-34.6534,-58.6198,73.0,94,99,8.88,AR,1613098066
26,iqaluit,63.7506,-68.5145,-0.4,78,90,17.27,CA,1613097723
27,kruisfontein,-34.0033,24.7314,73.0,89,100,1.01,ZA,1613098315
28,bambous virieux,-20.2567,57.4061,78.8,73,75,8.05,MU,1613098315
29,barrow,71.2906,-156.7887,-43.6,83,1,9.22,US,1613098096
30,mataura,-46.1927,168.8643,61.0,68,0,8.99,NZ,1613098271
31,ahuimanu,21.4447,-157.8378,80.6,57,20,6.91,US,1613098315
32,makakilo city,21.3524,-158.0865,80.6,57,1,11.5,US,1613098315
33,cape town,-36.413,-71.9028,62.6,100,87,4.61,CL,1613098316
34,bogorodskoye,56.55,37.8833,3.02,94,100,9.86,RU,1613098316
35,drayton valley,-27.5833,151.9167,84.2,39,75,10.36,AU,1613098290
36,rikitea,-23.1203,-134.9692,79.43,68,96,5.03,PF,1613098316
37,salinopolis,-0.6136,-47.3561,78.76,86,83,9.62,BR,1613097717
38,lagoa,39.05,-27.9833,58.12,87,100,22.82,PT,1613098316
39,toba,34.4833,136.85,48.99,67,100,1.99,JP,1613098317
40,sava,40.4034,17.5584,51.01,78,83,3.0,IT,1613098317
41,chokurdakh,70.6333,147.9167,-15.66,79,92,3.91,RU,1613098317
42,port alfred,-7.0349,29.7638,73.2,72,100,6.35,CD,1613098317
43,hithadhoo,-0.6,73.0833,81.48,77,88,12.3,MV,1613098317
44,lipetsk,52.6031,39.5708,18.05,97,100,14.09,RU,1613098038
45,iralaya,15.0,-83.2333,76.5,83,33,7.27,HN,1613098318
46,nuuk,64.1835,-51.7216,19.4,86,90,12.66,GL,1613098318
47,khatanga,71.9667,102.5,-26.86,86,97,5.86,RU,1613098318
48,miraflores,19.2167,-98.8083,62.6,36,1,8.05,MX,1613098318
49,sitka,57.0531,-135.33,28.4,29,1,4.61,US,1613098128
50,izumo,35.3667,132.7667,46.4,61,0,3.44,JP,1613098319
51,chuy,-33.6971,-53.4616,69.76,92,100,13.27,UY,1613098319
52,urucui,-7.2294,-44.5561,76.32,84,97,1.36,BR,1613098319
53,zhuhai,22.2769,113.5678,68.0,63,0,12.66,CN,1613098319
54,soyo,-6.1349,12.3689,79.38,81,100,4.92,AO,1613098170
55,margate,51.3813,1.3862,32.0,61,37,5.01,GB,1613098319
56,lebu,-37.6167,-73.65,59.83,92,0,14.38,CL,1613098320
57,marystown,47.1666,-55.1483,21.9,96,100,29.8,CA,1613098098
58,kodiak,57.79,-152.4072,39.2,81,90,36.82,US,1613098320
59,point pedro,-29.8647,31.0413,75.0,94,40,2.3,ZA,1613098320
60,sao filipe,20.5113,76.2129,70.48,30,47,10.6,IN,1613098320
61,benjamin constant,40.0983,-111.7313,48.2,43,75,5.75,US,1613098320
62,springbok,-29.6643,17.8865,70.09,63,13,2.64,ZA,1613098321
63,westport,41.1415,-73.3579,28.4,40,1,9.22,US,1613098175
64,minna,9.6139,6.5569,80.6,34,0,5.75,NG,1613098321
65,luderitz,-26.6481,15.1594,64.15,88,30,0.63,NA,1613098321
66,burnie,-41.0667,145.9167,61.0,85,26,5.01,AU,1613098321
67,busselton,-33.65,115.3333,69.93,46,0,5.41,AU,1613098322
68,college,64.8569,-147.8028,14.0,67,75,3.44,US,1613098138
69,chapais,49.7834,-74.8492,-5.8,71,90,16.11,CA,1613098322
70,zhigansk,66.7697,123.3711,-5.35,91,98,3.96,RU,1613098119
71,maracaibo,10.6317,-71.6406,79.25,65,63,12.26,VE,1613098322
72,butaritari,3.0707,172.7902,81.93,76,0,12.8,KI,1613098106
73,clyde river,41.3042,-82.9752,17.01,75,93,7.99,US,1613098323
74,yellowknife,62.456,-114.3525,-11.0,77,1,6.91,CA,1613098323
75,nome,64.5011,-165.4064,12.2,85,90,16.11,US,1613098323
76,buri,-23.7975,-48.5928,65.91,96,99,5.93,BR,1613098323
77,new norfolk,6.6518,-10.5932,76.71,93,86,2.39,LR,1613098323
78,roma,43.2128,-75.4557,8.6,72,1,2.62,US,1613098324
79,arraial do cabo,-22.8362,-46.646,69.01,88,90,9.22,BR,1613098324
80,hobyo,5.3505,48.5268,74.89,75,100,14.92,SO,1613098324
81,kyabe,9.4515,18.9449,68.76,22,70,3.96,TD,1613098324
82,hambantota,6.1241,81.1185,73.4,94,20,5.75,LK,1613098324
83,tiksi,71.6872,128.8694,-7.37,88,79,6.04,RU,1613098324
84,north bend,50.3333,3.6667,23.0,86,83,6.91,FR,1613098325
85,hay river,52.0705,-3.1274,30.0,76,100,4.0,GB,1613098325
86,saint-philippe,-21.3585,55.7679,75.2,69,84,8.05,RE,1613098325
87,morehead,37.2711,-87.1764,27.0,86,90,3.44,US,1613098325
88,hilo,19.7297,-155.09,77.0,61,90,10.36,US,1613098326
89,grand river south east,38.8755,-109.5012,48.0,36,1,3.33,US,1613098326
90,butler,39.4501,-84.5666,21.99,68,1,8.05,US,1613098327
91,sahy,48.0741,18.9495,16.0,72,0,11.01,SK,1613098327
92,vacaria,-28.5122,-50.9339,57.29,99,34,5.79,BR,1613098327
93,nemuro,43.3236,145.575,30.2,59,20,10.36,JP,1613098148
94,tabou,4.423,-7.3528,77.9,89,47,6.76,CI,1613098328
95,airai,-8.9266,125.4092,74.25,78,46,2.26,TL,1613098328
96,namibe,-15.1961,12.1522,72.37,79,94,3.58,AO,1613098328
97,dabat,12.9842,37.765,45.99,55,64,3.53,ET,1613098328
98,qaanaaq,77.484,-69.3632,5.59,71,0,7.56,GL,1613098274
99,sobolevo,54.4299,31.8996,4.89,94,100,18.77,RU,1613098329
100,kapaa,22.0752,-159.319,75.2,57,1,6.91,US,1613098116
101,victoria,22.2855,114.1577,66.99,65,0,4.0,HK,1613098098
102,gravdal,68.1214,13.5031,35.22,78,100,33.55,NO,1613098329
103,tres lagoas,46.3231,11.0969,21.99,59,5,2.39,IT,1613098329
